# This is a data table for pyrolite computed using Perple_X.
# Independent variables are temperature and pressure.
# POINTS: 200 200
T(K)           P(bar)         s,J/K/kg       rho,kg/m3      alpha,1/K      cp,J/K/m3      vp,km/s        vs,km/s        h,J/kg        
  3498.59        625628.        3128.88        4734.43       0.199380E-004  0.611628E+007   11.9936        6.40751       0.476973E+007
  3519.90        625628.        3136.73        4732.42       0.199668E-004  0.611826E+007   11.9886        6.40242       0.479727E+007
  3541.21        625628.        3144.54        4730.41       0.199956E-004  0.612025E+007   11.9836        6.39732       0.482483E+007
  3562.51        625628.        3152.30        4728.39       0.200246E-004  0.612224E+007   11.9787        6.39220       0.485241E+007
  3583.82        625628.        3160.03        4726.37       0.200535E-004  0.612423E+007   11.9737        6.38707       0.488001E+007
  3605.13        625628.        3167.71        4724.35       0.200826E-004  0.612622E+007   11.9687        6.38193       0.490764E+007
  3626.43        625628.        3175.36        4722.33       0.201118E-004  0.612822E+007   11.9637        6.37677       0.493528E+007
  3647.74        625628.        3182.96        4720.30       0.201410E-004  0.613022E+007   11.9587        6.37160       0.496295E+007
  3669.05        625628.        3190.53        4718.28       0.201704E-004  0.613223E+007   11.9536        6.36642       0.499063E+007
  3690.35        625628.        3198.06        4716.25       0.201998E-004  0.613424E+007   11.9486        6.36122       0.501834E+007
  3711.66        625628.        3205.55        4714.22       0.202293E-004  0.613625E+007   11.9435        6.35601       0.504607E+007
  3732.96        625628.        3213.01        4712.19       0.202589E-004  0.613827E+007   11.9385        6.35078       0.507382E+007
  3754.27        625628.        3220.43        4710.15       0.202886E-004  0.614029E+007   11.9334        6.34555       0.510159E+007
  3775.58        625628.        3227.81        4708.11       0.203184E-004  0.614231E+007   11.9283        6.34030       0.512938E+007
  3796.88        625628.        3235.15        4706.07       0.203482E-004  0.614434E+007   11.9233        6.33503       0.515719E+007
  3818.19        625628.        3242.46        4704.03       0.203782E-004  0.614638E+007   11.9182        6.32975       0.518502E+007
  3839.50        625628.        3249.74        4701.99       0.204083E-004  0.614842E+007   11.9131        6.32446       0.521288E+007
  3860.80        625628.        3256.98        4699.94       0.204384E-004  0.615046E+007   11.9079        6.31915       0.524075E+007
  3882.11        625628.        3264.18        4697.90       0.204687E-004  0.615252E+007   11.9028        6.31383       0.526865E+007
  3903.42        625628.        3271.36        4695.85       0.204990E-004  0.615457E+007   11.8977        6.30849       0.529657E+007
  3924.72        625628.        3278.49        4693.79       0.205294E-004  0.615663E+007   11.8925        6.30314       0.532451E+007
  3946.03        625628.        3285.60        4691.74       0.205600E-004  0.615870E+007   11.8874        6.29777       0.535247E+007
  3967.34        625628.        3292.67        4689.68       0.205906E-004  0.616077E+007   11.8822        6.29238       0.538045E+007
  3988.64        625628.        3299.71        4687.62       0.206213E-004  0.616285E+007   11.8770        6.28699       0.540846E+007
  4009.95        625628.        3306.72        4685.56       0.206522E-004  0.616494E+007   11.8718        6.28157       0.543649E+007
  4031.26        625628.        3313.70        4683.50       0.206831E-004  0.616703E+007   11.8666        6.27614       0.546454E+007
  4052.56        625628.        3320.64        4681.44       0.207141E-004  0.616912E+007   11.8614        6.27070       0.549261E+007
  4073.87        625628.        3327.56        4679.37       0.207453E-004  0.617123E+007   11.8562        6.26524       0.552070E+007
  4095.18        625628.        3334.44        4677.30       0.207765E-004  0.617334E+007   11.8510        6.25977       0.554881E+007
  4116.48        625628.        3341.29        4675.23       0.208079E-004  0.617546E+007   11.8458        6.25431       0.557695E+007
  4137.79        625628.        3348.11        4673.15       0.208394E-004  0.617757E+007   11.8405        6.24881       0.560510E+007
  4159.10        625628.        3354.91        4671.08       0.208709E-004  0.617972E+007   11.8352        6.24329       0.563328E+007
  4180.40        625628.        3361.67        4669.00       0.209026E-004  0.618186E+007   11.8300        6.23775       0.566149E+007
  4201.71        625628.        3368.40        4666.92       0.209344E-004  0.618401E+007   11.8247        6.23220       0.568971E+007
  4223.02        625628.        3375.11        4664.84       0.209663E-004  0.618616E+007   11.8194        6.22663       0.571796E+007
  4244.32        625628.        3381.79        4662.75       0.209983E-004  0.618832E+007   11.8141        6.22106       0.574623E+007
  4265.63        625628.        3388.44        4660.66       0.210304E-004  0.619050E+007   11.8088        6.21547       0.577452E+007
  4286.93        625628.        3395.06        4658.57       0.210626E-004  0.619267E+007   11.8035        6.20985       0.580284E+007
  4308.24        625628.        3401.65        4656.48       0.210950E-004  0.619486E+007   11.7981        6.20422       0.583117E+007
  4329.55        625628.        3408.22        4654.39       0.211274E-004  0.619705E+007   11.7928        6.19857       0.585954E+007
  4350.85        625628.        3414.76        4652.29       0.211600E-004  0.619926E+007   11.7874        6.19291       0.588792E+007
  4372.16        625628.        3421.27        4650.19       0.211926E-004  0.620146E+007   11.7820        6.18722       0.591633E+007
  4393.47        625628.        3427.76        4648.09       0.212254E-004  0.620369E+007   11.7766        6.18152       0.594476E+007
  4414.77        625628.        3434.22        4645.99       0.212584E-004  0.620592E+007   11.7713        6.17582       0.597321E+007
  4436.08        625628.        3440.65        4643.88       0.212914E-004  0.620815E+007   11.7659        6.17009       0.600168E+007
  4457.39        625628.        3447.06        4641.78       0.213246E-004  0.621040E+007   11.7604        6.16435       0.603018E+007
  4478.69        625628.        3453.45        4639.67       0.213578E-004  0.621266E+007   11.7550        6.15860       0.605870E+007
  4500.00        625628.        3459.80        4637.55       0.213912E-004  0.621493E+007   11.7496        6.15282       0.608724E+007
  260.000        633166.        304.654        5018.30       0.791366E-005  0.281980E+007   12.6473        7.04547       0.106556E+007
  281.307        633166.        352.306        5016.55       0.868578E-005  0.309661E+007   12.6435        7.04022       0.107848E+007
  302.613        633166.        399.220        5015.58       0.939643E-005  0.334850E+007   12.6414        7.03827       0.109218E+007
  323.920        633166.        446.199        5014.54       0.100383E-004  0.357550E+007   12.6391        7.03619       0.110689E+007
  345.226        633166.        492.932        5013.44       0.106164E-004  0.377943E+007   12.6367        7.03397       0.112253E+007
  366.533        633166.        539.765        5012.22       0.111360E-004  0.396234E+007   12.6341        7.03136       0.113919E+007
  387.839        633166.        585.371        5011.01       0.116040E-004  0.412641E+007   12.6315        7.02892       0.115639E+007
  409.146        633166.        630.209        5009.75       0.120256E-004  0.427363E+007   12.6287        7.02639       0.117426E+007
  430.452        633166.        676.481        5008.33       0.124056E-004  0.440590E+007   12.6257        7.02310       0.119371E+007
  451.759        633166.        719.567        5006.98       0.127493E-004  0.452489E+007   12.6228        7.02040       0.121271E+007
  473.065        633166.        761.718        5005.61       0.130606E-004  0.463216E+007   12.6198        7.01763       0.123220E+007
  494.372        633166.        802.922        5004.20       0.133433E-004  0.472904E+007   12.6168        7.01479       0.125213E+007
  515.678        633166.        843.176        5002.76       0.136007E-004  0.481673E+007   12.6137        7.01190       0.127246E+007
  536.985        633166.        882.488        5001.30       0.138357E-004  0.489629E+007   12.6105        7.00895       0.129315E+007
  558.291        633166.        924.945        4999.59       0.140502E-004  0.496860E+007   12.6070        7.00468       0.131637E+007
  579.598        633166.        962.421        4998.08       0.142476E-004  0.503451E+007   12.6037        7.00163       0.133769E+007
  600.905        633166.        999.010        4996.55       0.144294E-004  0.509470E+007   12.6004        6.99854       0.135928E+007
  622.211        633166.        1034.74        4995.01       0.145971E-004  0.514980E+007   12.5970        6.99541       0.138113E+007
  643.518        633166.        1069.63        4993.45       0.147523E-004  0.520035E+007   12.5936        6.99225       0.140321E+007
  664.824        633166.        1109.65        4991.53       0.148948E-004  0.524672E+007   12.5898        6.98719       0.142935E+007
  686.131        633166.        1142.95        4989.94       0.150288E-004  0.528951E+007   12.5863        6.98395       0.145184E+007
  707.437        633166.        1175.49        4988.34       0.151537E-004  0.532900E+007   12.5828        6.98069       0.147452E+007
  728.744        633166.        1207.31        4986.72       0.152704E-004  0.536553E+007   12.5793        6.97739       0.149736E+007
  750.050        633166.        1238.42        4985.09       0.153798E-004  0.539938E+007   12.5757        6.97407       0.152036E+007
  771.357        633166.        1276.66        4983.02       0.154801E-004  0.543061E+007   12.5716        6.96834       0.154941E+007
  792.663        633166.        1306.44        4981.37       0.155768E-004  0.545981E+007   12.5680        6.96496       0.157270E+007
  813.970        633166.        1335.59        4979.71       0.156680E-004  0.548702E+007   12.5644        6.96155       0.159611E+007
  835.276        633166.        1364.13        4978.05       0.157543E-004  0.551242E+007   12.5607        6.95813       0.161965E+007
  856.583        633166.        1392.09        4976.37       0.158361E-004  0.553615E+007   12.5571        6.95469       0.164330E+007
  877.889        633166.        1429.19        4974.17       0.159101E-004  0.555807E+007   12.5528        6.94837       0.167543E+007
  899.196        633166.        1456.04        4972.48       0.159839E-004  0.557889E+007   12.5491        6.94488       0.169929E+007
  920.503        633166.        1487.54        4970.63       0.160537E-004  0.559842E+007   12.5453        6.94048       0.172811E+007
  941.809        633166.        1513.36        4968.93       0.161209E-004  0.561680E+007   12.5416        6.93695       0.175216E+007
  963.116        633166.        1538.69        4967.22       0.161851E-004  0.563411E+007   12.5378        6.93341       0.177628E+007
  984.422        633166.        1564.86        4965.48       0.162460E-004  0.565044E+007   12.5341        6.92975       0.180176E+007
  1005.73        633166.        1590.37        4963.80       0.163045E-004  0.566592E+007   12.5306        6.92647       0.182714E+007
  1027.04        633166.        1615.77        4962.13       0.163605E-004  0.568058E+007   12.5271        6.92326       0.185296E+007
  1048.34        633166.        1640.31        4960.43       0.164145E-004  0.569444E+007   12.5235        6.91991       0.187843E+007
  1069.65        633166.        1664.75        4958.74       0.164662E-004  0.570759E+007   12.5200        6.91662       0.190432E+007
  1090.95        633166.        1688.63        4957.01       0.165156E-004  0.572002E+007   12.5163        6.91317       0.193013E+007
  1112.26        633166.        1711.94        4955.26       0.165631E-004  0.573180E+007   12.5126        6.90960       0.195580E+007
  1133.57        633166.        1735.25        4953.51       0.166083E-004  0.574299E+007   12.5089        6.90606       0.198199E+007
  1154.87        633166.        1758.70        4951.77       0.166509E-004  0.575364E+007   12.5052        6.90257       0.200884E+007
  1176.18        633166.        1781.22        4950.02       0.166933E-004  0.576380E+007   12.5014        6.89899       0.203511E+007
  1197.49        633166.        1803.31        4948.26       0.167346E-004  0.577349E+007   12.4976        6.89538       0.206135E+007
  1218.79        633166.        1824.79        4946.49       0.167752E-004  0.578275E+007   12.4939        6.89173       0.208731E+007
  1240.10        633166.        1846.25        4944.72       0.168140E-004  0.579160E+007   12.4901        6.88810       0.211370E+007
  1261.41        633166.        1867.18        4942.95       0.168523E-004  0.580007E+007   12.4863        6.88440       0.213989E+007
  1282.71        633166.        1888.53        4941.18       0.168879E-004  0.580817E+007   12.4825        6.88080       0.216705E+007
  1304.02        633166.        1908.61        4939.41       0.169248E-004  0.581595E+007   12.4786        6.87707       0.219303E+007
  1325.33        633166.        1928.70        4937.63       0.169603E-004  0.582341E+007   12.4747        6.87336       0.221944E+007
  1346.63        633166.        1947.58        4935.84       0.169971E-004  0.583060E+007   12.4707        6.86946       0.224466E+007
  1367.94        633166.        1966.17        4934.05       0.170333E-004  0.583751E+007   12.4667        6.86556       0.226989E+007
  1389.25        633166.        1984.50        4932.25       0.170688E-004  0.584416E+007   12.4627        6.86165       0.229516E+007
  1410.55        633166.        2002.58        4930.45       0.171037E-004  0.585057E+007   12.4587        6.85772       0.232047E+007
  1431.86        633166.        2020.41        4928.65       0.171380E-004  0.585674E+007   12.4546        6.85378       0.234581E+007
  1453.17        633166.        2038.00        4926.85       0.171718E-004  0.586271E+007   12.4506        6.84983       0.237119E+007
  1474.47        633166.        2055.36        4925.04       0.172050E-004  0.586846E+007   12.4465        6.84587       0.239659E+007
  1495.78        633166.        2072.49        4923.23       0.172378E-004  0.587403E+007   12.4424        6.84190       0.242203E+007
  1517.09        633166.        2089.40        4921.42       0.172701E-004  0.587941E+007   12.4383        6.83791       0.244751E+007
  1538.39        633166.        2106.09        4919.60       0.173020E-004  0.588462E+007   12.4342        6.83391       0.247302E+007
  1559.70        633166.        2122.58        4917.79       0.173335E-004  0.588967E+007   12.4301        6.82990       0.249855E+007
  1581.01        633166.        2138.86        4915.97       0.173646E-004  0.589456E+007   12.4260        6.82588       0.252412E+007
  1602.31        633166.        2154.94        4914.14       0.173954E-004  0.589931E+007   12.4219        6.82185       0.254971E+007
  1623.62        633166.        2170.83        4912.32       0.174258E-004  0.590392E+007   12.4177        6.81781       0.257534E+007
  1644.92        633166.        2186.52        4910.49       0.174559E-004  0.590840E+007   12.4136        6.81376       0.260099E+007
  1666.23        633166.        2202.04        4908.66       0.174857E-004  0.591275E+007   12.4094        6.80969       0.262667E+007
  1687.54        633166.        2217.37        4906.83       0.175153E-004  0.591699E+007   12.4052        6.80561       0.265238E+007
  1708.84        633166.        2232.52        4904.99       0.175446E-004  0.592112E+007   12.4010        6.80153       0.267811E+007
  1730.15        633166.        2247.50        4903.16       0.175736E-004  0.592513E+007   12.3969        6.79743       0.270387E+007
  1751.46        633166.        2262.32        4901.32       0.176024E-004  0.592905E+007   12.3927        6.79332       0.272966E+007
  1772.76        633166.        2276.97        4899.48       0.176310E-004  0.593288E+007   12.3884        6.78920       0.275548E+007
  1794.07        633166.        2291.46        4897.63       0.176594E-004  0.593661E+007   12.3842        6.78507       0.278131E+007
  1815.38        633166.        2305.79        4895.79       0.176877E-004  0.594025E+007   12.3800        6.78093       0.280718E+007
  1836.68        633166.        2319.96        4893.94       0.177157E-004  0.594381E+007   12.3758        6.77678       0.283307E+007
  1857.99        633166.        2333.99        4892.09       0.177435E-004  0.594730E+007   12.3715        6.77261       0.285898E+007
  1879.30        633166.        2347.87        4890.24       0.177713E-004  0.595071E+007   12.3673        6.76844       0.288492E+007
  1900.60        633166.        2361.61        4888.38       0.177988E-004  0.595404E+007   12.3630        6.76425       0.291088E+007
  1921.91        633166.        2375.21        4886.53       0.178263E-004  0.595731E+007   12.3587        6.76006       0.293686E+007
  1943.22        633166.        2388.66        4884.67       0.178536E-004  0.596052E+007   12.3544        6.75585       0.296287E+007
  1964.52        633166.        2401.99        4882.81       0.178807E-004  0.596366E+007   12.3502        6.75164       0.298891E+007
  1985.83        633166.        2415.18        4880.95       0.179078E-004  0.596674E+007   12.3459        6.74741       0.301496E+007
  2007.14        633166.        2428.24        4879.08       0.179348E-004  0.596977E+007   12.3415        6.74317       0.304104E+007
  2028.44        633166.        2441.18        4877.22       0.179616E-004  0.597274E+007   12.3372        6.73892       0.306714E+007
  2049.75        633166.        2453.99        4875.35       0.179884E-004  0.597567E+007   12.3329        6.73467       0.309326E+007
  2071.06        633166.        2466.67        4873.48       0.180151E-004  0.597854E+007   12.3286        6.73041       0.311940E+007
  2092.36        633166.        2479.25        4871.60       0.180417E-004  0.598137E+007   12.3242        6.72611       0.314557E+007
  2113.67        633166.        2491.69        4869.73       0.180683E-004  0.598415E+007   12.3199        6.72187       0.317175E+007
  2134.97        633166.        2504.03        4867.85       0.180948E-004  0.598689E+007   12.3155        6.71755       0.319796E+007
  2156.28        633166.        2516.26        4865.97       0.181212E-004  0.598959E+007   12.3112        6.71323       0.322420E+007
  2177.59        633166.        2528.37        4864.09       0.181476E-004  0.599225E+007   12.3068        6.70893       0.325044E+007
  2198.89        633166.        2540.39        4862.21       0.181739E-004  0.599488E+007   12.3024        6.70457       0.327673E+007
  2220.20        633166.        2552.28        4860.33       0.182002E-004  0.599747E+007   12.2980        6.70025       0.330302E+007
  2241.51        633166.        2564.09        4858.44       0.182264E-004  0.600002E+007   12.2936        6.69586       0.332935E+007
  2262.81        633166.        2575.78        4856.55       0.182526E-004  0.600254E+007   12.2892        6.69152       0.335568E+007
  2284.12        633166.        2587.38        4854.66       0.182787E-004  0.600503E+007   12.2848        6.68712       0.338205E+007
  2305.43        633166.        2598.87        4852.77       0.183049E-004  0.600749E+007   12.2803        6.68273       0.340843E+007
  2326.73        633166.        2610.27        4850.87       0.183310E-004  0.600992E+007   12.2759        6.67833       0.343483E+007
  2348.04        633166.        2621.58        4848.98       0.183571E-004  0.601233E+007   12.2715        6.67393       0.346125E+007
  2369.35        633166.        2632.79        4847.08       0.183831E-004  0.601471E+007   12.2670        6.66951       0.348770E+007
  2390.65        633166.        2643.91        4845.18       0.184092E-004  0.601707E+007   12.2625        6.66508       0.351416E+007
  2411.96        633166.        2654.94        4843.27       0.184353E-004  0.601940E+007   12.2581        6.66064       0.354064E+007
  2433.27        633166.        2665.88        4841.37       0.184613E-004  0.602171E+007   12.2536        6.65619       0.356715E+007
  2454.57        633166.        2676.73        4839.46       0.184873E-004  0.602400E+007   12.2491        6.65173       0.359367E+007
  2475.88        633166.        2687.50        4837.56       0.185134E-004  0.602627E+007   12.2446        6.64725       0.362021E+007
  2497.19        633166.        2698.18        4835.65       0.185394E-004  0.602852E+007   12.2401        6.64277       0.364678E+007
  2518.49        633166.        2708.78        4833.74       0.185655E-004  0.603075E+007   12.2356        6.63827       0.367336E+007
  2539.80        633166.        2719.30        4831.82       0.185915E-004  0.603296E+007   12.2311        6.63377       0.369997E+007
  2561.11        633166.        2729.74        4829.91       0.186176E-004  0.603516E+007   12.2266        6.62925       0.372659E+007
  2582.41        633166.        2740.10        4827.99       0.186437E-004  0.603734E+007   12.2220        6.62472       0.375324E+007
  2603.72        633166.        2750.38        4826.07       0.186698E-004  0.603950E+007   12.2175        6.62018       0.377990E+007
  2625.03        633166.        2760.59        4824.15       0.186959E-004  0.604165E+007   12.2129        6.61563       0.380659E+007
  2646.33        633166.        2770.72        4822.22       0.187220E-004  0.604378E+007   12.2084        6.61107       0.383329E+007
  2667.64        633166.        2780.78        4820.30       0.187482E-004  0.604591E+007   12.2038        6.60650       0.386002E+007
  2688.94        633166.        2790.77        4818.37       0.187744E-004  0.604802E+007   12.1992        6.60192       0.388676E+007
  2710.25        633166.        2800.68        4816.44       0.188006E-004  0.605012E+007   12.1946        6.59733       0.391353E+007
  2731.56        633166.        2810.52        4814.51       0.188268E-004  0.605220E+007   12.1900        6.59272       0.394031E+007
  2752.86        633166.        2820.30        4812.58       0.188530E-004  0.605428E+007   12.1854        6.58810       0.396711E+007
  2774.17        633166.        2830.00        4810.65       0.188793E-004  0.605635E+007   12.1808        6.58348       0.399394E+007
  2795.48        633166.        2839.64        4808.71       0.189057E-004  0.605841E+007   12.1762        6.57884       0.402078E+007
  2816.78        633166.        2849.22        4806.77       0.189320E-004  0.606045E+007   12.1716        6.57419       0.404764E+007
  2838.09        633166.        2858.73        4804.83       0.189584E-004  0.606249E+007   12.1669        6.56952       0.407453E+007
  2859.40        633166.        2868.17        4802.89       0.189849E-004  0.606453E+007   12.1623        6.56485       0.410143E+007
  2880.70        633166.        2877.55        4800.94       0.190113E-004  0.606655E+007   12.1576        6.56016       0.412835E+007
  2902.01        633166.        2886.87        4799.00       0.190378E-004  0.606857E+007   12.1530        6.55547       0.415529E+007
  2923.32        633166.        2896.12        4797.05       0.190644E-004  0.607058E+007   12.1483        6.55076       0.418226E+007
  2944.62        633166.        2905.32        4795.10       0.190910E-004  0.607258E+007   12.1436        6.54604       0.420924E+007
  2965.93        633166.        2914.46        4793.15       0.191177E-004  0.607458E+007   12.1389        6.54131       0.423624E+007
  2987.24        633166.        2923.54        4791.20       0.191444E-004  0.607657E+007   12.1342        6.53656       0.426326E+007
  3008.54        633166.        2932.56        4789.24       0.191711E-004  0.607856E+007   12.1295        6.53181       0.429030E+007
  3029.85        633166.        2941.52        4787.28       0.191979E-004  0.608054E+007   12.1248        6.52704       0.431736E+007
  3051.16        633166.        2950.42        4785.32       0.192248E-004  0.608253E+007   12.1201        6.52227       0.434444E+007
  3072.46        633166.        2959.28        4783.36       0.192517E-004  0.608450E+007   12.1153        6.51748       0.437154E+007
  3093.77        633166.        2968.07        4781.40       0.192786E-004  0.608647E+007   12.1106        6.51267       0.439866E+007
  3115.08        633166.        2976.81        4779.43       0.193056E-004  0.608844E+007   12.1058        6.50786       0.442580E+007
  3136.38        633166.        2985.50        4777.47       0.193327E-004  0.609041E+007   12.1011        6.50304       0.445296E+007
  3157.69        633166.        2994.14        4775.50       0.193598E-004  0.609237E+007   12.0963        6.49820       0.448014E+007
  3178.99        633166.        3002.72        4773.53       0.193870E-004  0.609434E+007   12.0915        6.49335       0.450734E+007
  3200.30        633166.        3011.26        4771.55       0.194143E-004  0.609629E+007   12.0868        6.48848       0.453456E+007
  3221.61        633166.        3019.74        4769.58       0.194416E-004  0.609825E+007   12.0820        6.48361       0.456179E+007
  3242.91        633166.        3028.17        4767.60       0.194690E-004  0.610021E+007   12.0772        6.47872       0.458905E+007
  3264.22        633166.        3036.56        4765.62       0.194964E-004  0.610217E+007   12.0724        6.47382       0.461633E+007
  3285.53        633166.        3044.89        4763.64       0.195239E-004  0.610412E+007   12.0675        6.46891       0.464363E+007
  3306.83        633166.        3053.18        4761.66       0.195515E-004  0.610608E+007   12.0627        6.46398       0.467095E+007
  3328.14        633166.        3061.42        4759.67       0.195791E-004  0.610804E+007   12.0579        6.45905       0.469829E+007
  3349.45        633166.        3069.62        4757.69       0.196068E-004  0.610999E+007   12.0530        6.45410       0.472565E+007
  3370.75        633166.        3077.77        4755.70       0.196346E-004  0.611195E+007   12.0482        6.44914       0.475303E+007
  3392.06        633166.        3085.87        4753.71       0.196624E-004  0.611390E+007   12.0433        6.44416       0.478042E+007
  3413.37        633166.        3093.93        4751.71       0.196904E-004  0.611586E+007   12.0384        6.43918       0.480784E+007
  3434.67        633166.        3101.94        4749.72       0.197183E-004  0.611782E+007   12.0335        6.43418       0.483528E+007
  3455.98        633166.        3109.91        4747.72       0.197464E-004  0.611978E+007   12.0286        6.42917       0.486274E+007
  3477.29        633166.        3117.84        4745.72       0.197745E-004  0.612174E+007   12.0237        6.42414       0.489022E+007
  3498.59        633166.        3125.72        4743.72       0.198028E-004  0.612370E+007   12.0188        6.41910       0.491772E+007
  3519.90        633166.        3133.56        4741.72       0.198311E-004  0.612567E+007   12.0139        6.41405       0.494524E+007
  3541.21        633166.        3141.36        4739.72       0.198594E-004  0.612764E+007   12.0090        6.40898       0.497278E+007
  3562.51        633166.        3149.12        4737.71       0.198879E-004  0.612960E+007   12.0040        6.40391       0.500034E+007
  3583.82        633166.        3156.84        4735.70       0.199164E-004  0.613158E+007   11.9991        6.39882       0.502793E+007
  3605.13        633166.        3164.52        4733.69       0.199450E-004  0.613355E+007   11.9941        6.39371       0.505553E+007
  3626.43        633166.        3172.16        4731.68       0.199737E-004  0.613553E+007   11.9892        6.38859       0.508315E+007
  3647.74        633166.        3179.76        4729.66       0.200025E-004  0.613751E+007   11.9842        6.38346       0.511080E+007
  3669.05        633166.        3187.32        4727.65       0.200313E-004  0.613949E+007   11.9792        6.37832       0.513846E+007
  3690.35        633166.        3194.85        4725.63       0.200602E-004  0.614149E+007   11.9742        6.37316       0.516614E+007
  3711.66        633166.        3202.33        4723.61       0.200893E-004  0.614348E+007   11.9692        6.36799       0.519385E+007
  3732.96        633166.        3209.78        4721.58       0.201184E-004  0.614546E+007   11.9642        6.36280       0.522158E+007
  3754.27        633166.        3217.19        4719.56       0.201476E-004  0.614747E+007   11.9591        6.35760       0.524932E+007
  3775.58        633166.        3224.57        4717.53       0.201769E-004  0.614948E+007   11.9541        6.35239       0.527709E+007
  3796.88        633166.        3231.91        4715.50       0.202062E-004  0.615148E+007   11.9491        6.34717       0.530488E+007
  3818.19        633166.        3239.21        4713.47       0.202357E-004  0.615350E+007   11.9440        6.34193       0.533269E+007
  3839.50        633166.        3246.48        4711.44       0.202653E-004  0.615553E+007   11.9389        6.33667       0.536052E+007
  3860.80        633166.        3253.72        4709.40       0.202949E-004  0.615754E+007   11.9339        6.33141       0.538837E+007
  3882.11        633166.        3260.92        4707.36       0.203246E-004  0.615956E+007   11.9288        6.32613       0.541624E+007
  3903.42        633166.        3268.08        4705.33       0.203545E-004  0.616160E+007   11.9237        6.32083       0.544414E+007
  3924.72        633166.        3275.21        4703.28       0.203844E-004  0.616364E+007   11.9186        6.31552       0.547205E+007
  3946.03        633166.        3282.31        4701.24       0.204144E-004  0.616568E+007   11.9135        6.31019       0.549999E+007
  3967.34        633166.        3289.38        4699.19       0.204445E-004  0.616773E+007   11.9084        6.30485       0.552795E+007
  3988.64        633166.        3296.41        4697.15       0.204747E-004  0.616978E+007   11.9032        6.29950       0.555593E+007
  4009.95        633166.        3303.41        4695.10       0.205050E-004  0.617184E+007   11.8981        6.29413       0.558393E+007
  4031.26        633166.        3310.38        4693.04       0.205354E-004  0.617391E+007   11.8929        6.28874       0.561195E+007
  4052.56        633166.        3317.32        4690.99       0.205659E-004  0.617599E+007   11.8877        6.28334       0.564000E+007
  4073.87        633166.        3324.23        4688.93       0.205965E-004  0.617807E+007   11.8826        6.27793       0.566807E+007
  4095.18        633166.        3331.11        4686.87       0.206272E-004  0.618014E+007   11.8774        6.27250       0.569615E+007
  4116.48        633166.        3337.95        4684.81       0.206581E-004  0.618224E+007   11.8722        6.26708       0.572426E+007
  4137.79        633166.        3344.77        4682.75       0.206890E-004  0.618435E+007   11.8670        6.26163       0.575239E+007
  4159.10        633166.        3351.55        4680.68       0.207200E-004  0.618645E+007   11.8618        6.25615       0.578054E+007
  4180.40        633166.        3358.31        4678.62       0.207511E-004  0.618856E+007   11.8566        6.25066       0.580872E+007
  4201.71        633166.        3365.04        4676.55       0.207824E-004  0.619070E+007   11.8513        6.24516       0.583692E+007
  4223.02        633166.        3371.74        4674.48       0.208136E-004  0.619281E+007   11.8461        6.23963       0.586514E+007
  4244.32        633166.        3378.41        4672.40       0.208451E-004  0.619495E+007   11.8408        6.23411       0.589338E+007
  4265.63        633166.        3385.05        4670.32       0.208766E-004  0.619709E+007   11.8355        6.22855       0.592164E+007
  4286.93        633166.        3391.67        4668.25       0.209083E-004  0.619925E+007   11.8303        6.22299       0.594993E+007
  4308.24        633166.        3398.25        4666.17       0.209401E-004  0.620140E+007   11.8250        6.21740       0.597824E+007
  4329.55        633166.        3404.81        4664.08       0.209719E-004  0.620357E+007   11.8197        6.21180       0.600657E+007
  4350.85        633166.        3411.35        4662.00       0.210039E-004  0.620574E+007   11.8143        6.20618       0.603493E+007
  4372.16        633166.        3417.85        4659.91       0.210360E-004  0.620792E+007   11.8090        6.20054       0.606330E+007
  4393.47        633166.        3424.33        4657.82       0.210682E-004  0.621012E+007   11.8037        6.19489       0.609170E+007
  4414.77        633166.        3430.79        4655.73       0.211005E-004  0.621232E+007   11.7983        6.18923       0.612012E+007
  4436.08        633166.        3437.21        4653.63       0.211330E-004  0.621453E+007   11.7930        6.18356       0.614857E+007
  4457.39        633166.        3443.62        4651.54       0.211655E-004  0.621673E+007   11.7876        6.17787       0.617703E+007
  4478.69        633166.        3449.99        4649.44       0.211982E-004  0.621898E+007   11.7822        6.17216       0.620553E+007
  4500.00        633166.        3456.34        4647.34       0.212310E-004  0.622120E+007   11.7769        6.16644       0.623404E+007
  260.000        640704.        303.559        5026.37       0.785122E-005  0.281677E+007   12.6683        7.05340       0.121536E+007
  281.307        640704.        349.890        5025.49       0.863113E-005  0.309538E+007   12.6664        7.05163       0.122790E+007
  302.613        640704.        397.814        5023.67       0.932715E-005  0.334666E+007   12.6624        7.04623       0.124191E+007
  323.920        640704.        444.697        5022.63       0.996635E-005  0.357428E+007   12.6602        7.04415       0.125660E+007
  345.226        640704.        491.343        5021.54       0.105422E-004  0.377882E+007   12.6578        7.04195       0.127221E+007
  366.533        640704.        538.006        5020.38       0.110609E-004  0.396240E+007   12.6553        7.03963       0.128881E+007
  387.839        640704.        583.541        5019.17       0.115274E-004  0.412704E+007   12.6527        7.03720       0.130598E+007
  409.146        640704.        628.316        5017.92       0.119475E-004  0.427481E+007   12.6500        7.03468       0.132382E+007
  430.452        640704.        674.392        5016.51       0.123264E-004  0.440758E+007   12.6470        7.03148       0.134318E+007
  451.759        640704.        717.426        5015.18       0.126690E-004  0.452705E+007   12.6441        7.02879       0.136216E+007
